type,src,question,prompt,response,id,target,participant,response_num,rating_std
uses,dod20,What is a surprising use for a BOOK?,book,read,dod20_book-cabdf9,1.3,dod201,1.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,paperweight,dod20_book-c86474,2.7,dod201,2.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,weapon,dod20_book-0b8662,3.7,dod201,3.0,0.957427107756338
uses,dod20,What is a surprising use for a BOOK?,book,to balance out a table,dod20_book-44c39f,2.7,dod201,4.0,0.5
uses,dod20,What is a surprising use for a BOOK?,book,as a foot rest,dod20_book-173178,2.7,dod201,5.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,planter,dod20_bottle-a243cf,3.2,dod201,1.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,rain catcher,dod20_bottle-8f2576,2.2,dod201,2.0,0.957427107756338
uses,dod20,What is a surprising use for a BOTTLE?,bottle,weapon,dod20_bottle-0b8662,3.3,dod201,3.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,target for shooting,dod20_bottle-578e60,3.3,dod201,4.0,0.5
uses,dod20,What is a surprising use for a BOTTLE?,bottle,book end paperweight,dod20_bottle-ddf353,3.0,dod201,5.0,0.0
uses,dod20,What is a surprising use for a BRICK?,brick,paperweight,dod20_brick-c86474,2.2,dod201,1.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,yard art,dod20_brick-e894ce,2.8,dod201,2.0,1.2583057392117916
uses,dod20,What is a surprising use for a BRICK?,brick,weapon,dod20_brick-0b8662,3.3,dod201,3.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,book end,dod20_brick-6337d1,3.7,dod201,4.0,0.5
uses,dod20,What is a surprising use for a BRICK?,brick,foot rest,dod20_brick-12a8b8,3.0,dod201,5.0,0.0
uses,dod20,What is a surprising use for a FORK?,fork,yard art,dod20_fork-e894ce,3.3,dod201,1.0,0.5
uses,dod20,What is a surprising use for a FORK?,fork,back scrathcer,dod20_fork-e2fe4b,2.5,dod201,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a FORK?,fork,comb,dod20_fork-003541,3.5,dod201,3.0,1.0
uses,dod20,What is a surprising use for a FORK?,fork,weapon,dod20_fork-0b8662,2.8,dod201,4.0,0.5
uses,dod20,What is a surprising use for PANTS?,pants,a jacket,dod20_pants-916f32,2.5,dod201,1.0,0.5773502691896257
uses,dod20,What is a surprising use for PANTS?,pants,make a back pack,dod20_pants-dc10c3,3.5,dod201,2.0,1.0
uses,dod20,What is a surprising use for PANTS?,pants,wash rags,dod20_pants-9a1a8e,2.3,dod201,3.0,0.5
uses,dod20,What is a surprising use for PANTS?,pants,as a flag,dod20_pants-faf098,4.0,dod201,4.0,0.0
uses,dod20,What is a surprising use for PANTS?,pants,start a fire with,dod20_pants-a1422d,2.5,dod201,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,neck tie,dod20_rope-e51644,3.2,dod201,1.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,lasso,dod20_rope-04bbd2,1.5,dod201,2.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,decoration,dod20_rope-57e174,3.5,dod201,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,back scratcher,dod20_rope-a31f94,4.2,dod201,4.0,0.5
uses,dod20,What is a surprising use for a ROPE?,rope,whip,dod20_rope-9be2b7,2.5,dod201,5.0,0.5773502691896257
uses,dod20,What is a surprising use for a ROPE?,rope,necklace,dod20_rope-2a84b2,3.5,dod201,6.0,1.0
uses,dod20,What is a surprising use for a ROPE?,rope,dog leash,dod20_rope-a6eb49,2.8,dod201,7.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,planter,dod20_shoe-a243cf,3.5,dod201,1.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOE?,shoe,fly swatter,dod20_shoe-1cf206,2.8,dod201,2.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,book end,dod20_shoe-6337d1,4.8,dod201,3.0,0.5
uses,dod20,What is a surprising use for a SHOE?,shoe,paperweight,dod20_shoe-c86474,3.5,dod201,4.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOE?,shoe,as a football in a pinch,dod20_shoe-e83acd,3.8,dod201,5.0,0.957427107756338
uses,dod20,What is a surprising use for a SHOE?,shoe,hang in a tree as a decoration,dod20_shoe-4df665,3.2,dod201,6.0,0.5
uses,dod20,What is a surprising use for a SHOVEL?,shovel,weapon,dod20_shovel-0b8662,3.0,dod201,1.0,0.816496580927726
uses,dod20,What is a surprising use for a SHOVEL?,shovel,baseball bat,dod20_shovel-f6a660,4.0,dod201,2.0,0.0
uses,dod20,What is a surprising use for a SHOVEL?,shovel,to make a catapult,dod20_shovel-d785c5,3.5,dod201,3.0,0.5773502691896257
uses,dod20,What is a surprising use for a SHOVEL?,shovel,grave marker,dod20_shovel-59f19c,2.3,dod201,4.0,1.5
uses,dod20,What is a surprising use for a TABLE?,table,as a ladder,dod20_table-321c97,2.7,dod201,1.0,0.5
